auth	users	auth_users_insert_profile	AFTER	INSERT	EXECUTE FUNCTION handle_new_user()
public	affiliate_profiles	trg_affiliate_profiles_updated_at	BEFORE	UPDATE	EXECUTE FUNCTION tg_set_updated_at()
public	balances	trg_balances_updated_at	BEFORE	UPDATE	EXECUTE FUNCTION set_updated_at()
public	casino_settings	trg_casino_settings_updated_at	BEFORE	UPDATE	EXECUTE FUNCTION set_updated_at()
public	casino_settings	trg_settings_updated_at	BEFORE	UPDATE	EXECUTE FUNCTION tg_set_updated_at()
public	deposit_intents	trg_deposit_intents_normalize_ids	BEFORE	INSERT	EXECUTE FUNCTION deposit_intents_normalize_ids()
public	deposit_intents	trg_deposit_intents_normalize_ids	BEFORE	UPDATE	EXECUTE FUNCTION deposit_intents_normalize_ids()
public	deposit_intents	trg_deposit_intents_updated_at	BEFORE	UPDATE	EXECUTE FUNCTION set_updated_at()
public	kyc_requests	trg_kyc_requests_updated_at	BEFORE	UPDATE	EXECUTE FUNCTION set_updated_at()
public	manual_deposit_requests	trg_manual_deposit_requests_updated_at	BEFORE	UPDATE	EXECUTE FUNCTION set_updated_at()
public	profiles	trg_profiles_updated_at	BEFORE	UPDATE	EXECUTE FUNCTION set_updated_at()
public	transactions	trg_audit_transactions	AFTER	INSERT	EXECUTE FUNCTION audit_transaction_trigger()
public	transactions	trg_transactions_insert_audit	AFTER	INSERT	EXECUTE FUNCTION transactions_insert_audit_trigger()
public	transactions	update_transactions_timestamp	BEFORE	UPDATE	EXECUTE FUNCTION update_updated_at()
public	withdraw_requests	trg_withdraw_requests_updated_at	BEFORE	UPDATE	EXECUTE FUNCTION set_updated_at()
realtime	subscription	tr_check_filters	BEFORE	INSERT	EXECUTE FUNCTION realtime.subscription_check_filters()
realtime	subscription	tr_check_filters	BEFORE	UPDATE	EXECUTE FUNCTION realtime.subscription_check_filters()
storage	buckets	enforce_bucket_name_length_trigger	BEFORE	INSERT	EXECUTE FUNCTION storage.enforce_bucket_name_length()
storage	buckets	enforce_bucket_name_length_trigger	BEFORE	UPDATE	EXECUTE FUNCTION storage.enforce_bucket_name_length()
storage	buckets	protect_buckets_delete	BEFORE	DELETE	EXECUTE FUNCTION storage.protect_delete()
storage	objects	protect_objects_delete	BEFORE	DELETE	EXECUTE FUNCTION storage.protect_delete()
storage	objects	update_objects_updated_at	BEFORE	UPDATE	EXECUTE FUNCTION storage.update_updated_at_column()
